Year: 2011
                                  bak  ara  fra   dan  kor  afr-za  swe     ind  eng  mkd  bel  ukr  deu  rus   ces  pam  lav   afr  bul  ina  xho-za  ara-ps   msa  oss  rus-kz   hun    tur  eng-ai  hat    cat  bcl  est   ita  eng-ca  ltz  tam   ron  sun  eng-ag  eng-gs  fas  nob  ido  dan-gl  nno  slk-sk  gsw  new  srp  pus  tgk  bos  uzb  glg  wln   pol  div    spa  eng-ki  tat  ara-tn  ara-sy  scn   lus  eng-ac  kal-gl    fin  cym  cos  lug  eng-za  ell  che  kaz  nob-no  mlg   vie  hbs-rs  por-br  fra-bf  kal  kir  ceb  dan-dk   hin  heb  bre  rus-md  mon  gle  pnb  eus   isl  ben  kan  tha  mlt  spa-ec  guj    hrv  hye  ces-eu  slv-si  ben-bd  epo  sin  nso  lat  urd  eng-gi  deu-ch  cat-ad  fao  hif  sna-zw  ara-bh  eng-fj  min  fry   som  swa  sah  chv  spa-uy  zul  lim  eng-gm  tel  bpy   slv  por-pt  vec  zho-simp-tw  jpn  spa-cr  azj  fra-gp  eng-uk  sna  cmn  deu-be  deu-at  por-an  kat  eng-eu  pms  yid  eng-bm  spa-co  amh  gom  eng-gp  eng-bn  vol  uig  hsb  als-al  aze  hye-am  jav  mal    por  hbs  als  que  oci  mar  nld  por-mo  ara-ae  roh  ilo  swh  deu-hu  ron-md  zho-trad  eng-nz   lit   slk  lmo  zul-za  mri  deu-lu  eng-au  ekk  nep  pes-ir   tgl
North Korea                         0    0     30     0    0       0     9    0    0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      24    0    0    0    0       0       0    0     9    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      6    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       6    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0     129    0    0    0       0    0       0      57    0    0       0    0
United Arab Emirates                0    0      0     0    0       0     0    0    0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0     0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Taiwan                              0    0      0     0    0       0     0    0    0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0     264    0    0    0    0       0       0    0     0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0     528    0    0    0       0    0       0       0    0    0       0    0
Rwanda                              0    0      4     2    0       0     0    0    0    0    0    0      1    0    1    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       3    0    0    0    0       0       0    0     3    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       6    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       1    0    0    0       0    0       0       1    0    0       0    0
Netherlands                         0    0    534   916    0       0   602    0    0    0    0    0   1674    0   55    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0     420    0    0    0    0       0       0    0   398    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0     60    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0   21    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0     491       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0     825    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0     347    0    0    0       0    0       0     325    0    0       0    0
Georgia                             0    0      1    12    0       0     7    0    0    0    0    0      6    0   10    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       3    0    0    0    0       0       0    0     2    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       3       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       2    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       6    0    0    0       0    0       0       1    0    0       0    0
Sweden                              0    0     50   276    0       0  7050    0    0    0    0    0    271    0   23    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      35    0    0    0    0       0       0    0   322    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0     43    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    1    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      86       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0     117    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0      59    0    0    0       0    0       0      60    0    0       0    0
Belarus                             0    0     21    35    0       0    15    0    0    0    0    0    104    0   12    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       5    0    0    0    0       0       0    0    26    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      28       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      15    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       4    0    0    0       0    0       0       6    0    0       0    0
Bulgaria                            0    0     44    54    0       0   678    0    0    0    0    0    188    2   38    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       8    0    0    0    0       0       0    0    20    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    104    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0   22    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      50       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      22    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0      24    0    0    0       0    0       0      26    0    0       0    0
Honduras                            0    0      4     0    0       0     0    0    0    0    0    0      2    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       3    0    0    0    0       0       0    0     0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       5       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       4    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       2    0    0       0    0
Rhode Island                        0    0      0     0    0       0     0    0    0    0    0    0     96    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0     570    0    0    0    0       0       0    0     0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0     150    0    0    0       0    0       0       0    0    0       0    0
Ireland                             0    0      0     1    0       0     0    0    0    0    0    0      1    1    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0     0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       3    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       1    0    0       0    0
Afghanistan                         0    0      9   123    0       0    57    0    0    0    0    0   2019    0    3    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      75    0    0    0    0       0       0    0    96    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    3    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      27       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      69    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0      36    0    0    0       0    0       0      42    0    0       0    0
Zimbabwe                            0    0     19    23    0       0    69    0    0    0    0    0    139    0   11    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      32    0    0    0    0       0       0    0    18    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      22       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      68    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0      21    0    0    0       0    0       0      41    0    0       0    0
Tanzania                            0    0      0     1    0       0     0    0    0    0    0    0      2    0    2    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       2    0    0    0    0       0       0    0     0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       5       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       3    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Colombia                            0    0     12    31    0       0    17    0    0    0    0    0    112    0    2    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      14    0    0    0    0       0       0    0    12    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      63       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      16    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       2    0    0    0       0    0       0      10    0    0       0    0
Australia                           0    0    441   375    0       0   360    0    0    0    0    0   2331    0  561    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0    1764    0    0    0    0       0       0    0   375    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0     39    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0     852       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0    1809    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0    6273    0    0    0       0    0       0   48117    0    0       0    0
Ethiopia                            0    0      0     0    0       0     0    0    0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0     0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       9       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Sierra Leone                        0    0      5     0    0       0     1    0    0    0    0    0      6    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       5    0    0    0    0       0       0    0     5    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       1       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      13    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       3    0    0    0       0    0       0       1    0    0       0    0
Peru                                0    0     33    25    0       0    24    0    0    0    0    0     67    0    8    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      24    0    0    0    0       0       0    0    40    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      5    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    1    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      29       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      34    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0      20    0    0    0       0    0       0      12    0    0       0    0
Niger                               0    0     16     5    0       0     0    0    0    0    0    0      2    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0     1    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       5       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Croatia                             0    0    144    24    0       0    12    0    0    0    0    0    327    0   46    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      13    0    0    0    0       0       0    0    31    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      6    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      34       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      44    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       7    0    0    0       0    0       0      17    0    0       0    0
Hong Kong                           0    0      3     0    0       0     1    0    0    0    0    0      2    0    1    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       1    0    0    0    0       0       0    0     0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      1    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       2       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       9    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       9    0    0    0       0    0       0       4    0    0       0    0
Eritrea                             0    0      0     0    0       0     0    0    0    0    0    0      3    0    1    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0     3    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       5       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       3    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       1    0    0    0       0    0       0       2    0    0       0    0
Malawi                              0    0      3     3    0       0     2    0    0    0    0    0      2    0    3    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       3    0    0    0    0       0       0    0     1    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      1    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       2       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      15    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       2    0    0    0       0    0       0       3    0    0       0    0
Jordan                              0    0     51    15    0       0    12    0    0    0    0    0     90    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      24    0    0    0    0       0       0    0     6    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    3    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      96       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      24    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0      18    0    0    0       0    0       0      36    0    0       0    0
Macedonia                           0    0     24    21    0       0     9    0    0    0    0    0    147    0   33    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      12    0    0    0    0       0       0    0    21    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      18       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      21    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       3    0    0    0       0    0       0       3    0    0       0    0
Argentina                           0    0      2     2    0       0    20    0    0    0    0    0    182    0    6    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      30    0    0    0    0       0       0    0     2    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    2    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      45       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      10    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0      15    0    0    0       0    0       0       0    0    0       0    0
Ghana                               0    0     30    14    0       0    14    0    0    0    0    0     36    0   14    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      32    0    0    0    0       0       0    0     6    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       8       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      22    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       8    0    0    0       0    0       0       6    0    0       0    0
Mali                                0    0    117     6    0       0     3    0    0    0    0    0     45    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      12    0    0    0    0       0       0    0    24    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      42       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      12    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Ukraine                             0    0     29    46    0       0     5    0    0    0    0    0     25    2    1    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0      27    0    0    0    0       0       0    0     2    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      3    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      11       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0      39    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       1    0    0    0       0    0       0       2    0    0       0    0
Republic of the Congo               0    0     29     1    0       0     2    0    0    0    0    0      4    0    1    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       3    0    0    0    0       0       0    0     1    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       1       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       1    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Bolivia                             0    0      0     3    0       0     4    0    0    0    0    0      8    0    2    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       7    0    0    0    0       0       0    0     5    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      27       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       2    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       6    0    0    0       0    0       0       1    0    0       0    0
Burkina Faso                        0    0     54     9    0       0     2    0    0    0    0    0     12    0    5    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       4    0    0    0    0       0       0    0     4    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0      0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0      16       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       2    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       2    0    0       0    0
